#아래는 순서대로 국어, 영어, 수학, 사회, 과학 점수 

15, 16, 21, 0, 14
96, 91, 14, 11, 75
49, 63, 15, 18, 61
54, 4, 20, 21, 1
46, 8, 7, 23, 9
88, 90, 19, 8, 48
66, 22, 24, 4, 47
55, 90, 19, 16, 56
77, 90, 33, 28, 27
94, 40, 5, 23, 90
21, 24, 26, 27, 63
69, 15, 15, 23, 54
41, 22, 32, 13, 77
93, 58, 29, 22, 77
68, 8, 36, 3, 24
82, 83, 39, 4, 6
63, 15, 1, 1, 68
27, 82, 32, 24, 95
36, 47, 9, 12, 83
59, 8, 27, 9, 31
12, 23, 15, 20, 87
60, 98, 32, 19, 85
95, 36, 21, 5, 17
88, 58, 4, 19, 73
73, 68, 7, 15, 4
66, 38, 30, 19, 79
87, 35, 36, 22, 6
56, 6, 29, 0, 49
66, 42, 24, 15, 87
39, 77, 27, 8, 99
48, 56, 24, 24, 55
93, 52, 19, 18, 85
33, 32, 14, 1, 87
62, 67, 7, 52, 44
22, 33, 31, 2, 11
65, 29, 17, 36, 76
6, 99, 38, 6, 99
85, 40, 39, 62, 28
84, 82, 23, 27, 44
11, 70, 36, 22, 36
89, 88, 8, 15, 69
21, 4, 13, 24, 57
19, 89, 33, 0, 45
7, 50, 11, 59, 57
45, 97, 18, 31, 51
79, 11, 15, 24, 94
78, 26, 6, 59, 39
57, 7, 32, 6, 98
44, 22, 26, 58, 51
35, 87, 10, 18, 97
93, 49, 87, 14, 68
59, 35, 70, 48, 62
90, 45, 32, 16, 75
63, 86, 43, 12, 2
81, 96, 93, 54, 20
85, 17, 18, 55, 37
10, 41, 94, 0, 93
89, 15, 61, 43, 38
99, 85, 62, 38, 99
57, 6, 92, 49, 75
81, 36, 17, 48, 65
93, 11, 50, 31, 33
73, 42, 94, 12, 88
61, 79, 95, 67, 32
52, 40, 46, 60, 41
21, 59, 8, 65, 71
12, 84, 52, 13, 51
14, 60, 69, 16, 25
59, 67, 60, 21, 7
11, 44, 99, 54, 55
71, 56, 51, 2, 16
14, 38, 20, 17, 42
29, 49, 66, 12, 47
31, 38, 9, 13, 7
85, 81, 71, 1, 91
46, 94, 43, 17, 45
71, 33, 86, 21, 82
71, 71, 67, 5, 14
6, 21, 60, 13, 4
99, 22, 63, 3, 27
61, 96, 42, 14, 11
48, 8, 79, 15, 29
43, 42, 47, 29, 89
74, 6, 25, 25, 10
28, 93, 35, 18, 48
28, 18, 84, 15, 58
34, 85, 31, 12, 65
61, 72, 34, 3, 11
32, 60, 26, 2, 46
36, 84, 14, 16, 92
13, 65, 93, 15, 72
92, 46, 29, 28, 9
20, 33, 43, 1, 34
58, 30, 6, 19, 20
57, 50, 53, 25, 13
69, 61, 11, 28, 97
41, 97, 16, 13, 8
0, 84, 18, 9, 15
19, 11, 15, 2, 90
0, 7, 33, 7, 58
