측정일자,측정시간,지역,지역명,도로명,시작점,종점,기온 (℃),습도 (%),재비산먼지 평균농도(㎍/㎥),오염범례
2021-03-12,15:04,경기,김포시,양곡2로,경기도 김포시 양촌읍 양곡리 248-3 답,경기도 김포시 구래동 5419전,14.0,63.0,24,매우좋음
2021-03-12,9:54,경기,안산시 단원구,선부로,경기도 안산시단원구 선부동 1158-7도,경기도 안산시단원구 와동 268-1도,11.0,66.0,161,나쁨
2021-03-12,10:18,경기,안산시 단원구,지곡로,경기도 안산시단원구 선부동 1158-12도,경기도 안산시단원구 원곡동 993-1도,11.0,63.0,401,매우나쁨
2021-03-12,12:00,경기,광명시,금오로,경기도 광명시 옥길동 45-2도,경기도 광명시 옥길동 340-1도,14.0,47.0,833,매우나쁨
2021-03-12,12:10,서울,구로구,금오로,서울특별시 구로구 천왕동 278-3 도,서울특별시 구로구 천왕동 12-2도,14.0,49.0,103,보통
2021-03-12,12:40,서울,구로구,신도림로,서울특별시 구로구 신도림동 290-10 도,서울특별시 구로구 신도림동 312-16도,15.0,46.0,64,좋음
2021-03-12,13:16,서울,영등포구,가마산로,서울특별시 영등포구 대림동 774도,서울특별시 영등포구 신길동 4880도,15.0,44.0,48,매우좋음
2021-03-12,15:13,인천,서구,로봇랜드로,인천광역시 서구 경서동 514도,인천광역시 서구 원창동 437-27 잡,14.0,60.0,182,나쁨
2021-03-12,15:29,인천,서구,비지니스로,인천광역시 서구 경서동 920-10도,인천광역시 서구 경서동 979-5도,13.0,64.0,27,매우좋음
2021-03-12,15:37,인천,서구,청라한내로,인천광역시 서구 경서동 973-7도,인천광역시 서구 경서동 834-138도,13.0,67.0,28,매우좋음
2021-03-12,15:55,인천,서구,차오름로,인천광역시 서구 경서동 584 잡,인천광역시 서구 경서동 947-4도,14.0,64.0,42,매우좋음
2021-03-12,10:34,서울,노원구,노원로,서울특별시 노원구 상계동,서울특별시 노원구 공릉동 70-2도,14.0,52.0,9,매우좋음
2021-03-12,11:05,서울,노원구,공릉로,서울특별시 노원구 공릉동 656-2도,서울특별시 노원구 중계동 514-6도,14.0,51.0,42,매우좋음
2021-03-12,11:16,서울,노원구,덕릉로,서울특별시 노원구 상계동 770-1천,서울특별시 노원구 상계동 산156-6도,14.0,50.0,25,매우좋음
2021-03-12,11:44,서울,노원구,노해로,서울특별시 노원구 상계동 791-1천,서울특별시 노원구 상계동 719도,15.0,48.0,26,매우좋음
2021-03-12,11:53,서울,노원구,중계로,서울특별시 노원구 중계동 370도,서울특별시 노원구 하계동 산34-8도,15.0,48.0,57,좋음
2021-03-12,12:40,서울,성북구,돌곶이로,서울특별시 성북구 장위동 310-22 도,서울특별시 성북구 석관동 332-5도,15.0,44.0,35,매우좋음
2021-03-12,13:18,서울,성북구,오패산로,서울특별시 강북구 미아동 1318-1 도,서울특별시 성북구 하월곡동 67-122천,14.0,52.0,8,매우좋음
2021-03-12,14:22,서울,마포구,토정로,서울특별시 마포구 마포동 33-18도,서울특별시 마포구 합정동 139-21 잡,13.0,71.0,15,매우좋음
2021-03-12,15:31,인천,서구,승학로,인천광역시 서구 검암동 71-17 도,인천광역시 서구 가정동 571도,13.0,70.0,20,매우좋음
2021-03-12,15:47,인천,서구,탁옥로,인천광역시 서구 심곡동 354 도,인천광역시 서구 심곡동 311도,13.0,67.0,22,매우좋음
2021-03-15,10:17,경기,양주시,회정로,경기도 양주시 회정동 203-1천,경기도 양주시 고암동 119도,10.0,0.0,61,좋음
2021-03-15,10:25,경기,양주시,독바위로,경기도 양주시 덕정동 211도,경기도 양주시 옥정동 941-8도,10.0,47.0,194,나쁨
2021-03-15,11:10,경기,양주시,율정로,경기도 양주시 삼숭동 134-12답,경기도 양주시 율정동 312-18 도,12.0,52.0,60,좋음
2021-03-15,11:21,경기,양주시,옥정서로,경기도 양주시 옥정동 867-119창,경기도 양주시 옥정동 1049-8도,12.0,52.0,137,보통
2021-03-15,11:29,경기,양주시,옥정동로,경기도 양주시 옥정동 1094도,경기도 양주시 옥정동 864-1643도,12.0,51.0,150,보통
2021-03-15,11:49,경기,양주시,회천남로,경기도 양주시 옥정동 1084-4도,경기도 양주시 옥정동 820-7 답,13.0,50.0,154,나쁨
2021-03-15,12:12,경기,동두천시,정장로,경기도 동두천시 생연동 820-1 도,경기도 동두천시 생연동 224-5 도,13.0,49.0,199,나쁨
2021-03-15,12:26,경기,동두천시,강변로,경기도 동두천시 송내동 467-4 도,경기도 동두천시 하봉암동 327-38 장,14.0,48.0,46,매우좋음
2021-03-15,14:02,경기,포천시,송우로,경기도 포천시 동교동 542-2도,경기도 포천시 소흘읍 송우리 119-1 도,14.0,44.0,969,매우나쁨
2021-03-15,15:39,인천,서구,도담로,인천광역시 서구 오류동 1687 도,인천광역시 서구 오류동 1671 도,14.0,48.0,337,매우나쁨
2021-03-15,10:25,서울,마포구,월드컵북로,서울특별시 마포구 동교동 192-5도,서울특별시 마포구 상암동 655도,12.0,62.0,40,매우좋음
2021-03-15,10:43,서울,마포구,월드컵로,경기도 고양시덕양구 덕은동 269-4전,서울특별시 마포구 합정동 422도,12.0,61.0,31,매우좋음
2021-03-15,10:57,서울,마포구,독막로,서울특별시 마포구 합정동 420 도,서울특별시 마포구 도화동 293-1도,12.0,60.0,29,매우좋음
2021-03-15,11:12,서울,마포구,토정로,서울특별시 마포구 마포동 33-18도,서울특별시 마포구 합정동 139-21 잡,13.0,58.0,154,나쁨
2021-03-15,13:06,서울,마포구,양화로,서울특별시 마포구 합정동 345-1도,서울특별시 마포구 동교동 191-2도,15.0,49.0,41,매우좋음
2021-03-15,13:12,서울,마포구,신촌로,서울특별시 마포구 동교동 191-2도,서울특별시 서대문구 충정로3가 58-6 도,15.0,48.0,58,좋음
2021-03-15,13:21,서울,마포구,마포대로,서울특별시 마포구 아현동 610-1 도,서울특별시 마포구 마포동 53제,15.0,46.0,65,좋음
2021-03-15,13:26,서울,마포구,백범로,서울특별시 마포구 신공덕동 148-51 도,서울특별시 마포구 노고산동 31-123도,15.0,46.0,44,매우좋음
2021-03-15,13:34,서울,마포구,대흥로,서울특별시 마포구 대흥동 3-63도,서울특별시 마포구 용강동 495-4 제,15.0,44.0,98,좋음
2021-03-15,14:01,서울,마포구,동교로,서울특별시 마포구 연남동 222-2철,서울특별시 마포구 합정동 450-55전,16.0,45.0,90,좋음
2021-03-15,14:39,서울,마포구,성산로,서울특별시 마포구 망원동 297-2천,서울특별시 마포구 연남동 448-4천,16.0,42.0,30,매우좋음
